Group,Source,OG_Author,Paragraph
Fiction,"The Lion, the Witch, and the Wardrobe",C.S. Lewis,"When she stepped ashore she found herself in darkness for the rise of the ground, and the trees, cut off the moonlight. But she managed to find the same road that Shasta had found, and came just as he had done to the end of. the grass and the beginning of the sand, and looked (like him) to her left and saw the big, black Tombs. And now at last, brave girl though she was, her heart quailed. Supposing the others weren't there! Supposing the ghouls were! But she stuck out her chin (and a little bit of her tongue too) and went straight towards them."
Fiction,Robinson Crusoe,Daniel Defoe,"The baking part was the next thing to be considered, and how I should make bread when I came to have corn; for first, I had no yeast. As to that part, there was no supplying the want, so I did not concern myself much about it. But for an oven I was indeed in great pain. At length I found out an experiment for that also, which was this: I made some earthen-vessels very broad but not deep, that is to say, about two feet diameter, and not above nine inches deep. These I burned in the fire, as I had done the other, and laid them by; and when I wanted to bake, I made a great fire upon my hearth, which I had paved with some square tiles of my own baking and burning also; but I should not call them square."
Fiction,The Hunger Games,Suzanne Collins,"I feel around for the parachute and slide my fingers inside until they close around the pearl. I sit back on my bed crosslegged and find myself rubbing the smooth iridescent surface of the pearl back and forth against my lips. For some reason, it’s soothing. A cool kiss from the giver himself."
Fiction,Life of Pi,Yann Martel,"Butchering a turtle was hard work. My first one was a small hawksbill. It was its blood that tempted me, the ""good, nutritious, salt-free drink"" promised by the survival manual. My thirst was that bad. I took hold of the turtle's shell and grappled with one of its back flippers. When I had a good grip, I turned it over in the water and attempted to pull it onto the raft. The thing was thrashing violently. I would never be able to deal with it on the raft. Either I let it go-or I tried my luck on the lifeboat. I looked up. It was a hot and cloudless day. Richard Parker seemed to tolerate my presence at the bow on such days, when the air was like the inside of an oven and he did not move from under the tarpaulin until sunset."
Fiction,Invisible Man,Ralph Ellison,"Close to the curb ahead I saw a man pushing a cart piled high with rolls of blue paper and heard him singing in a clear ringing voice. It was a blues, and I walked along behind him remembering the times that I had heard such singing at home. It seemed that here some memories slipped around my life at the campus and went far back to things I had long ago shut out of my mind. There was no escaping such reminders."
Fiction,Slaughterhouse-Five,Kurt Vonnegut,"Echolalia is a mental disease which makes people immediately repeat things that well people around them say. But Billy didn't really have it. Rumfoord simply insisted, for his own comfort, that Billy had it. Rumfoord was thinking in a military manner: that an inconvenient person, one whose death he wished for very much, for practical reasons, was suffering from a repulsive disease."
Fiction,The Girl with the Dragon Tattoo,Stieg Larsson,"Blomkvist avoided meeting Vanger’s gaze. He thought instantly of the cold, unplaceable certainty he had had the night before. The feeling had been with him all day, but he had had no time to work his way through the album again. At last he looked up at Vanger and shook his head."
Fiction,The Notebook,Nicholas Sparks,"They gave in then to everything they had fought against for the last fourteen years. Allie lifted her head off his shoulder, looked at him with hazy eyes, and Noah kissed her softly on the lips. She brought her hand to his face and touched his cheek, brushing it softly with her fingers. He leaned in and kissed her tenderly, and she kissed back, feeling the years of separation dissolve into passion."
Fiction,The Time Machine,H.G. Wells,"‘Yet every now and then one would come straight towards me, setting loose a quivering horror that made me quick to elude him. At one time the flames died down somewhat, and I feared the foul creatures would presently be able to see me. I was thinking of beginning the fight by killing some of them before this should happen; but the fire burst out again brightly, and I stayed my hand. I walked about the hill among them and avoided them, looking for some trace of Weena. But Weena was gone."
Fiction,Eragon,Christopher Paolini,A smooth routine was quickly established. Every morning Eragon ran out to the tree and gave the dragon breakfast before hurrying back. During the day he attacked his chores until they were finished and he could visit the dragon again. Both Garrow and Roran noted his behavior and asked why he spent so much time outside. Eragon just shrugged and started checking to make sure he was not followed to the tree.
NY Times,Death Toll Rises to 133 in Moscow Concert Hall Attack,"Paul Sonne, Anton Troianovski, Ivan Nechepurenko","The Islamic State claimed responsibility for the brutal attack late Friday, raising fears of a global resurgence by the extremist group. U.S. officials said they believed the atrocity was the work of a branch of the terrorist group known as the Islamic State in Khorasan, or ISIS-K, which has been active in Pakistan, Afghanistan and Iran. ISIS-K previously attacked Russia’s embassy in Kabul, Afghanistan, and has produced floods of anti-Kremlin propaganda."
NY Times,"Biden Signs Final Bill to Fund the Government, Ending Shutdown Fears",Aishvarya Kavi,"Democrats and Republicans both highlighted victories in the final legislation. Republicans cited as victories funding for 2,000 new Border Patrol agents, additional detention beds run by Immigration and Customs Enforcement, and a provision cutting off aid to the main United Nations agency that provides assistance to Palestinians. Democrats, including Mr. Biden, secured funding increases for federal child care and education programs, cancer and Alzheimer’s research."
NY Times,Catherine’s Cancer Disclosure Shows Her Lessons From Previous Media Ordeals,Mark Landler,While Catherine did not answer key questions about her illness — what form of cancer? how far has it spread? how long will she be treated with chemotherapy? — the announcement could dispel most of the conspiracy theories that have enveloped her since she underwent abdominal surgery in January.
NY Times,First He Came for Cancel Culture. Now He Wants to Cancel Smartphones,Emma Goldberg,"Toby Shannan, the former chief operating officer of the e-commerce business Shopify, has called on Mr. Haidt for advice on facing ideological battles in the workplace. He said Mr. Haidt got him through a bumpy period in the lead-up to Donald J. Trump’s election in 2016, when some of his employees were fuming about Shopify hosting online swag shops for right-wing groups like Breitbart News. With Mr. Haidt’s counsel, Shopify determined that users could sell merchandise with political commentary, but none with explicit calls to harm."
NY Times,"Kari Lake, a Trump Acolyte, Struggles to Find Her Path","Michael C. Bender, Kellen Browning","Public polls show Ms. Lake as a clear favorite against Mr. Lamb. She is also within striking distance of Representative Ruben Gallego, the front-runner for the Democratic Senate nomination. The race for the seat, which is being vacated by Senator Kyrsten Sinema, an independent, is one of only a handful this year expected to determine control of the closely divided chamber."
NY Times,"With ‘Tommy’ Revival, Pete Townshend Is Talking to a New Generation",Rob Tannenbaum,"Townshend’s plot revolves around Tommy Walker, who witnesses a murder when he is 4 and, in response to the trauma, turns into the “deaf, dumb and blind kid” described in the show’s most famous song, “Pinball Wizard.” Sexual abuse, narcissism, cults and celebrity are contemplated — all topics that connect the show to today. If anything, it’s more pertinent now than it was in 1969."
NY Times,Abbott’s Army on the Border: Is it Working?,"J. David Goodman, Edgar Sandoval","“There are a few reasons, and Texas’ policies are one of them,” said Adam Isacson, who focuses on borders and migration at the Washington Office on Latin America. He said more than anything else, it appeared to be fear of the uncertain legal landscape — particularly Texas’ looming migrant arrest law known as Senate Bill 4, which passed in December — that has caused many migrants to avoid the state."
NY Times,"Caitlin Clark has off day, but still nearly notches triple-double",Scott Dochterman,"Caitlin Clark finished with 27 points, 10 assists and eight rebounds. She never really got into a groove offensively and seemed a bit frustrated throughout the game. Even when she left, she wasn't happy. The only time she flashed a smile was when senior post Sharon Goodman came in and put together a traditional three-point play late in the game."
NY Times,How Princeton’s Kaitlyn Chen handles thesis deadlines and NCAA Tournament dreams,Ben Pickman,"Instead, during her first semester, Chen, fellow freshman Chet Nweke and three other teammates ran laps, did ladder sprints and performed burpees on an outdoor track. They played pickup on outdoor courts until it got too cold. Her apartment complex had an indoor hoop, “but it was like the tiniest court ever,” Chen said, with barely enough space to shoot a high-school distance 3-pointer."
NY Times,A Dark Day Is Coming for Buffalo. It Can’t Wait.,Sarah Maslin Nir,"After that, it’s up to Buffalo to make the most of its moment in the sun (or should that be: out of the sun?), when it will be met with an estimated one million eclipse tourists. Owing to the city’s excellent vantage for witnessing a rare total eclipse, nearly every room in every hotel in the region is booked, the campgrounds are almost full and good luck finding a rental car anywhere along the Erie Canal."
NY Times,"Who Is This Strange Woman, and What Is She Doing Here?",Phillip Maciak,"The answer is that Elsbeth Tascioni, and the oddball detective procedural in which she now lives, exist because Robert and Michelle King know what they’re doing. They have always been particularly self-conscious creators of network procedurals, working in a kind of uncanny valley: The shows are immersive, dramatic crowd-pleasers, but they are also playful, ironic, even occasionally postmodern in their building out of intellectual property. “Elsbeth” isn’t just a spinoff; it’s a spinoff about spinoffs."
NY Times,Republicans Who Do Not Regularly Watch Fox Are Less Likely to Back Trump,Ruth Igielnik,These Republicans differ from consumers of conservative media primarily in terms of their ideology: They were much more likely to describe themselves as politically moderate. Nikki Haley had about 30 percent support among these Republicans and 4 percent among conservative media consumers (the poll was taken before Ms. Haley dropped out of the race).
NY Times,Modi’s Party Doesn’t Control All of India. But He’s Working on It.,"Mujib Mashal, Hari Kumar","India’s move toward more centralized governance could hurt its overall growth, analysts say, as such efforts have done in the past. Big national spending programs focus on basic development problems that the south mostly solved decades ago. If that region’s freedom to make investments based on its own needs is restricted, the effects could be far-reaching."
NY Times,‘Just a Human’: Londoners Offer Sympathy on Princess’s Cancer Diagnosis,Megan Specia,"While the royals have long been fodder for Britain’s tabloid press, the family is also viewed as a part of the country’s identity, and many British papers have shown some level of restraint when it came to outright speculation about Catherine and the king’s recent health woes. But conspiracy theories and rumors swirled online, driven in part by an obsession with the family’s celebrity."
NY Times,Venezuelan Opposition Names New Candidate in Show of Unity,"Genevieve Glatsky, Isayen Herrera","Ms. Yoris was a member of the commission that helped organize October’s primary, raising speculation that the government might not allow her to register as a candidate. The government has questioned the opposition primary’s legitimacy and has taken legal aim at its organizers."
NY Times,Insooni Breaks Racial Barrier to Become Beloved Singer in South Korea,Choe Sang-Hun,"But Insooni’s confidence turned into wariness when she discussed her childhood in Pocheon, a town near the border with North Korea. Topics she still found too sensitive to discuss in detail included her younger half sister, whose father was also an American G.I. When she was young, she said, she hated when people stared at her and asked about her origins, wishing that she were a nun cloistered in a monastery."
NY Times,"Snakes in the Grass — and Under the Piano, by the Pool and in the Prison",Natasha Frost,"“Not only are snakes becoming more active earlier in the year and staying active longer in the year, but it also means that they’re going to stay active longer into the night,” said Bryan Fry, a professor of biology at the University of Queensland. On nights with temperatures above about 28 or 29 degrees Celsius, or 82 degrees Fahrenheit, he added, snakes will remain active all night long."
NY Times,"Where Hostage Families and Supporters Gather, for Solace and Protest",Roni Caryn Rabin,"In the months since the attacks, the plaza has continued to attract a steady stream of Israelis and tourists on volunteer missions who want to support the families. But it has also become a home away from home for the parents, adult children, siblings, cousins and other relatives of hostages."
NY Times,Can Gabriel Attal Win Over France?,Roger Cohen,"The “transgression” of both men was that of restive youth against the old order. Neither Mr. Macron nor Mr. Attal ever saw a taboo he did not want to shatter. Mr. Macron was a one-man revolution when he came to power in 2017 at the age of 39, proclaiming the politics of left and right defunct and offering a malleable post-ideological thing called “Macronism.”"
NY Times,"In Latin America, a New Frontier for Women: Professional Softball in Mexico",James Wagner,"Officials settled on softball because of its growing popularity, particularly in the United States, where players often go to play in college, and an encouraging future in Mexico (the national team finished fourth in its first Olympics appearance at the 2021 Tokyo Games). And with baseball stadiums largely unused during its off-season, a softball league could bring in extra money."
Non-Fiction,The Perilous Coming Age of AI Warfare How to Limit the Threat of Autonomous Weapons,Paul Scharre,"The deployment of Saker’s drone shows that the window to regulate autonomous weapons is closing fast. Countries have been discussing what to do about autonomous weapons for a decade, but they have been unable to agree on regulations to limit the weapons’ harms. Yet there is an urgent need for international agreement. The unconstrained development of autonomous weapons could lead to wars that expand beyond human control, with fewer protections for both combatants and civilians. Even if a wholesale ban is not realistic, there are many practical regulations that governments can adopt to mitigate autonomous weapons’ worst dangers. Without limits, humanity risks barreling toward a future of dangerous, machine-driven warfare."
Non-Fiction,Artificial Intelligence and Machine Learning in Health Care and Medical Sciences,"Gyorgy J. Simon, Constantin Aliferis","Survival models for longitudinal data. When we have longitudinal data, the covariates and the outcome can change over time. We have already discussed exten sions to the Cox model that allow for changing predictors (time-dependent covari ates) and recurring events. In the general regression setting, longitudinal data is handled through marginal models or through mixed effect models, because the observations become correlated. We have also discussed that in the Cox model, as long as we only have one event per patient, marginal or mixed effect models are not required [46]."
Non-Fiction,A brief tour of human consciousness: From impostor poodles to purple numbers.,"Ramachandran, V. S.","How can can some people come to believe that their poodle is an impostor? Or see colors in numbers? The author shares his unique insight into human consciousness in an entertaining, inspiring, and intellectually dazzling brief tour of the ultimate frontier--the thoughts in our heads. This book is made up of five investigations of the greatest mysteries of the brain. The first chapter shows how amputees feel pain in limbs they no longer have as it introduces the great revolution of our age: neuroscience. The second chapter walks through how what we see determines our thoughts, and demonstrates the counterintuitive point that believing is in fact seeing. The third chapter takes a leap beyond cutting edge science to audaciously set out a general theory of beauty, explaining why, the world over, cultures have fundamentally similar notions of what is attractive. The fourth chapter explores the bizarre world of synesthetes, people who see colors in numbers, textures in smells, sounds in sights, and flavors in sounds. Finally, the author sums up the implications of the revolution in our understanding of consciousness to make a fascinating argument about our essential sense of self and its distributed nature."
Non-Fiction,The Computational Theory of Mind,M Rescorla,"The intuitive notions of computation and algorithm are central to mathematics. Roughly speaking, an algorithm is an explicit, step-by-step procedure for answering some question or solving some problem. An algorithm provides routine mechanical instructions dictating how to proceed at each step. Obeying the instructions requires no special ingenuity or creativity. For example, the familiar grade-school algorithms describe how to compute addition, multiplication, and division. Until the early twentieth century, mathematicians relied upon informal notions of computation and algorithm without attempting anything like a formal analysis. Developments in the foundations of mathematics eventually impelled logicians to pursue a more systematic treatment. Alan Turing’s landmark paper “On Computable Numbers, With an Application to the Entscheidungsproblem” (Turing 1936) offered the analysis that has proved most influential."
Non-Fiction,Deep Reinforcement Learning: A Brief Survey,"Kai Arulkumaran, Marc Peter Deisenroth, Miles Brundage, Anil Anthony Bharath","One of the primary goals of the field of AI is to produce fully autonomous agents that interact with their environments to learn optimal behaviors, improving over time through trial and error. Crafting AI systems that are responsive and can effectively learn has been a long-standing challenge, ranging from robots, which can sense and react to the world around them, to purely software-based agents, which can interact with natural language and multimedia. A principled mathematical framework for experience-driven autonomous learning is RL [78]. Although RL had some successes in the past [31], [53], [74], [81], previous approaches lacked scalability and were inherently limited to fairly low-dimensional problems. These limitations exist because RL algorithms share the same complexity issues as other algorithms: memory complexity, computational complexity, and, in the case of machine-learning algorithms, sample complexity [76]. What we have witnessed in recent years—the rise of deep learning, relying on the powerful function approximation and representation learning properties of deep neural networks—has provided us with new tools to overcoming these problems."
Non-Fiction,Learning to Explore using Active Neural SLAM,"Devendra Singh Chaplot, Dhiraj Gandhi, Saurabh Gupta, Abhinav Gupta, Ruslan Salakhutdinov","This work presents a modular and hierarchical approach to learn policies for exploring 3D environments, called `Active Neural SLAM'. Our approach leverages the strengths of both classical and learning-based methods, by using analytical path planners with learned SLAM module, and global and local policies. The use of learning provides flexibility with respect to input modalities (in the SLAM module), leverages structural regularities of the world (in global policies), and provides robustness to errors in state estimation (in local policies). Such use of learning within each module retains its benefits, while at the same time, hierarchical decomposition and modular training allow us to sidestep the high sample complexities associated with training end-to-end policies. Our experiments in visually and physically realistic simulated 3D environments demonstrate the effectiveness of our approach over past learning and geometry-based approaches. The proposed model can also be easily transferred to the PointGoal task and was the winning entry of the CVPR 2019 Habitat PointGoal Navigation Challenge."
Non-Fiction,Cognitive Mapping and Planning for Visual Navigation,"Saurabh Gupta, James Davidson, Sergey Levine, Rahul Sukthankar, Jitendra Malik","We introduce a neural architecture for navigation in novel environments. Our proposed architecture learns to map from first-person views and plans a sequence of actions towards goals in the environment. The Cognitive Mapper and Planner (CMP) is based on two key ideas: a) a unified joint architecture for mapping and planning, such that the mapping is driven by the needs of the planner, and b) a spatial memory with the ability to plan given an incomplete set of observations about the world. CMP constructs a top-down belief map of the world and applies a differentiable neural net planner to produce the next action at each time step. The accumulated belief of the world enables the agent to track visited regions of the environment. Our experiments demonstrate that CMP outperforms both reactive strategies and standard memory-based architectures and performs well in novel environments. Furthermore, we show that CMP can also achieve semantically specified goals, such as ""go to a chair""."
Non-Fiction,Decision Transformer: Reinforcement Learning via Sequence Modeling,"Lili Chen, Kevin Lu, Aravind Rajeswaran, Kimin Lee, Aditya Grover, Misha Laskin, Pieter Abbeel, Aravind Srinivas, Igor Mordatch","We introduce a framework that abstracts Reinforcement Learning (RL) as a sequence modeling problem. This allows us to draw upon the simplicity and scalability of the Transformer architecture, and associated advances in language modeling such as GPT-x and BERT. In particular, we present Decision Transformer, an architecture that casts the problem of RL as conditional sequence modeling. Unlike prior approaches to RL that fit value functions or compute policy gradients, Decision Transformer simply outputs the optimal actions by leveraging a causally masked Transformer. By conditioning an autoregressive model on the desired return (reward), past states, and actions, our Decision Transformer model can generate future actions that achieve the desired return. Despite its simplicity, Decision Transformer matches or exceeds the performance of state-of-the-art model-free offline RL baselines on Atari, OpenAI Gym, and Key-to-Door tasks."
Non-Fiction,Prompting Decision Transformer for Few-Shot Policy Generalization,"Mengdi Xu, Yikang Shen, Shun Zhang, Yuchen Lu, Ding Zhao, Joshua Tenenbaum, Chuang Gan","Human can leverage prior experience and learn novel tasks from a handful of demonstrations. In contrast to offline meta-reinforcement learning, which aims to achieve quick adaptation through better algorithm design, we investigate the effect of architecture inductive bias on the few-shot learning capability. We propose a Prompt-based Decision Transformer (Prompt-DT), which leverages the sequential modeling ability of the Transformer architecture and the prompt framework to achieve few-shot adaptation in offline RL. We design the trajectory prompt, which contains segments of the few-shot demonstrations, and encodes task-specific information to guide policy generation. Our experiments in five MuJoCo control benchmarks show that Prompt-DT is a strong few-shot learner without any extra finetuning on unseen target tasks. Prompt-DT outperforms its variants and strong meta offline RL baselines by a large margin with a trajectory prompt containing only a few timesteps. Prompt-DT is also robust to prompt length changes and can generalize to out-of-distribution (OOD) environments."
Non-Fiction,Rt-1: Robotics transformer for real-world control at scale,"Anthony Brohan, Noah Brown, Justice Carbajal, Yevgen Chebotar, Joseph Dabis, Chelsea Finn, Keerthana Gopalakrishnan, Karol Hausman, Alex Herzog, Jasmine Hsu, Julian Ibarz, Brian Ichter, Alex Irpan, Tomas Jackson, Sally Jesmonth, Nikhil J Joshi, Ryan Julian, Dmitry Kalashnikov, Yuheng Kuang, Isabel Leal, Kuang-Huei Lee, Sergey Levine, Yao Lu, Utsav Malla, Deeksha Manjunath, Igor Mordatch, Ofir Nachum, Carolina Parada, Jodilyn Peralta, Emily Perez, Karl Pertsch, Jornell Quiambao, Kanishka Rao, Michael Ryoo, Grecia Salazar, Pannag Sanketi, Kevin Sayed, Jaspiar Singh, Sumedh Sontakke, Austin Stone, Clayton Tan, Huong Tran, Vincent Vanhoucke, Steve Vega, Quan Vuong, Fei Xia, Ted Xiao, Peng Xu, Sichun Xu, Tianhe Yu, Brianna Zitkovich","By transferring knowledge from large, diverse, task-agnostic datasets, modern machine learning models can solve specific downstream tasks either zero-shot or with small task-specific datasets to a high level of performance. While this capability has been demonstrated in other fields such as computer vision, natural language processing or speech recognition, it remains to be shown in robotics, where the generalization capabilities of the models are particularly critical due to the difficulty of collecting real-world robotic data. We argue that one of the keys to the success of such general robotic models lies with open-ended task-agnostic training, combined with high-capacity architectures that can absorb all of the diverse, robotic data. In this paper, we present a model class, dubbed Robotics Transformer, that exhibits promising scalable model properties. We verify our conclusions in a study of different model classes and their ability to generalize as a function of the data size, model size, and data diversity based on a large-scale data collection on real robots performing real-world tasks."
Non-Fiction,AGENT: A Benchmark for Core Psychological Reasoning,"Tianmin Shu, Abhishek Bhandwaldar, Chuang Gan, Kevin Smith, Shari Liu, Dan Gutfreund, Elizabeth Spelke, Joshua Tenenbaum, Tomer Ullman","For machine agents to successfully interact with humans in real-world settings, they will need to develop an understanding of human mental life. Intuitive psychology, the ability to reason about hidden mental variables that drive observable actions, comes naturally to people: even pre-verbal infants can tell agents from objects, expecting agents to act efficiently to achieve goals given constraints. Despite recent interest in machine agents that reason about other agents, it is not clear if such agents learn or hold the core psychology principles that drive human reasoning. Inspired by cognitive development studies on intuitive psychology, we present a benchmark consisting of a large dataset of procedurally generated 3D animations, AGENT (Action, Goal, Efficiency, coNstraint, uTility), structured around four scenarios (goal preferences, action efficiency, unobserved constraints, and cost-reward trade-offs) that probe key concepts of core intuitive psychology. We validate AGENT with human-ratings, propose an evaluation protocol emphasizing generalization, and compare two strong baselines built on Bayesian inverse planning and a Theory of Mind neural network. Our results suggest that to pass the designed tests of core intuitive psychology at human levels, a model must acquire or have built-in representations of how agents plan, combining utility computations and core knowledge of objects and physics."
Non-Fiction,Watch-And-Help: A Challenge for Social Perception and Human-AI Collaboration,"Xavier Puig, Tianmin Shu, Shuang Li, Zilin Wang, Yuan-Hong Liao, Joshua B. Tenenbaum, Sanja Fidler, Antonio Torralba","In this paper, we introduce Watch-And-Help (WAH), a challenge for testing social intelligence in agents. In WAH, an AI agent needs to help a human-like agent perform a complex household task efficiently. To succeed, the AI agent needs to i) understand the underlying goal of the task by watching a single demonstration of the human-like agent performing the same task (social perception), and ii) coordinate with the human-like agent to solve the task in an unseen environment as fast as possible (human-AI collaboration). For this challenge, we build VirtualHome-Social, a multi-agent household environment, and provide a benchmark including both planning and learning based baselines. We evaluate the performance of AI agents with the human-like agent as well as with real humans using objective metrics and subjective user ratings. Experimental results demonstrate that the proposed challenge and virtual environment enable a systematic evaluation on the important aspects of machine social intelligence at scale."
Non-Fiction,PEBBLE: Feedback-Efficient Interactive Reinforcement Learning via Relabeling Experience and Unsupervised Pre-training,"Kimin Lee, Laura Smith, Pieter Abbeel","Conveying complex objectives to reinforcement learning (RL) agents can often be difficult, involving meticulous design of reward functions that are sufficiently informative yet easy enough to provide. Human-in-the-loop RL methods allow practitioners to instead interactively teach agents through tailored feedback; however, such approaches have been challenging to scale since human feedback is very expensive. In this work, we aim to make this process more sample- and feedback-efficient. We present an off-policy, interactive RL algorithm that capitalizes on the strengths of both feedback and off-policy learning. Specifically, we learn a reward model by actively querying a teacher's preferences between two clips of behavior and use it to train an agent. To enable off-policy learning, we relabel all the agent's past experience when its reward model changes. We additionally show that pre-training our agents with unsupervised exploration substantially increases the mileage of its queries. We demonstrate that our approach is capable of learning tasks of higher complexity than previously considered by human-in-the-loop methods, including a variety of locomotion and robotic manipulation skills. We also show that our method is able to utilize real-time human feedback to effectively prevent reward exploitation and learn new behaviors that are difficult to specify with standard reward functions."
Non-Fiction,MVSNet: Depth Inference for Unstructured Multi-view Stereo,"Yao Yao, Zixin Luo, Shiwei Li, Tian Fang, Long Quan","We present an end-to-end deep learning architecture for depth map inference from multi-view images. In the network, we first extract deep visual image features, and then build the 3D cost volume upon the reference camera frustum via the differentiable homography warping. Next, we apply 3D convolutions to regularize and regress the initial depth map, which is then refined with the reference image to generate the final output. Our framework flexibly adapts arbitrary N-view inputs using a variance-based cost metric that maps multiple features into one cost feature. The proposed method is demonstrated on the large-scale DTU dataset. With simple post-processing, MVSNet not only significantly outperforms previous state-of-the-arts, but also is several times faster in runtime. In the end, we also show the generalization power of MVSNet on the complex outdoor Tanks and Temples dataset, which has not been used to train the network."
Non-Fiction,Realtime Multi-Person 2D Pose Estimation Using Part Affinity Fields,"Zhe Cao, Tomas Simon, Shih-En Wei, Yaser Sheikh","We present an approach to efficiently detect the 2D pose of multiple people in an image. The approach uses a nonparametric representation, which we refer to as Part Affinity Fields (PAFs), to learn to associate body parts with individuals in the image. The architecture encodes global context, allowing a greedy bottom-up parsing step that maintains high accuracy while achieving realtime performance, irrespective of the number of people in the image. The architecture is designed to jointly learn part locations and their association via two branches of the same sequential prediction process. Our method placed first in the inaugural COCO 2016 keypoints challenge, and significantly exceeds the previous state-of-the-art result on the MPII Multi-Person benchmark, both in performance and efficiency."
Non-Fiction,Panoptic Segmentation,"Alexander Kirillov, Kaiming He, Ross Girshick, Carsten Rother, Piotr Dollar","We propose and study a task we name panoptic segmentation (PS). Panoptic segmentation unifies the typically distinct tasks of semantic segmentation (assign a class label to each pixel) and instance segmentation (detect and segment each object instance). The proposed task requires generating a coherent scene segmentation that is rich and complete, an important step toward real-world vision systems. While early work in computer vision addressed related image/scene parsing tasks, these are not currently popular, possibly due to lack of appropriate metrics or associated recognition challenges. To address this, we propose a novel panoptic quality (PQ) metric that captures performance for all classes (stuff and things) in an interpretable and unified manner. Using the proposed metric, we perform a rigorous study of both human and machine performance for PS on three existing datasets, revealing interesting insights about the task. The aim of our work is to revive the interest of the community in a more unified view of image segmentation."
